pk_emissions,report_id,location_id,location_name,active,country,bu_rc_id,bu_rc_name,fiscal_year,fiscal_quarter,status,scope,media_type,halo_name,halos_subtype,emission_type,emissions_t,co2_factor,co2e_t,r11e_t,r11_factor,refrigerant,kyoto_gases_remark,halogenated_carbons_remark,source_last_updated,load_date
,1001,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q2,Approved,Scope 1,Halogenated Carbons,R134a (CH2FCF3),HFC,Halogenated Carbons,0.071003,1389.05,98.626717,0.0,0.0,True,,Annual refrigerant top-up recorded; leak-check performed.,2022-01-30 00:00:00.000,2026-07-10 08:00:00.000
febc0b0a16c7bb720ccb4c3724c8c2c7,1001,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q2,Approved,Scope 1,Halogenated Carbons,R404A,HFC,Halogenated Carbons,0.16797,3909.33,656.65016,0.0,0.0,True,,Annual refrigerant top-up recorded; leak-check performed.,2022-01-30 00:00:00.000,2026-07-10 08:00:00.000
e3e29c21528af9dc2d7f7951e6e193e0,1002,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q3,Approved,Scope 1,SF6 (emitted amount = eM),,,Kyoto Gases,0.006984,23958.6384,167.327131,0.0,0.0,,,,2022-04-27 00:00:00.000,2026-07-10 08:00:00.000
,1002,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q3,Approved,Scope 1,Nitrous Oxide (N2O),,,Kyoto Gases,0.030425,272.2756,8.283985,0.0,0.0,,,Annual refrigerant top-up recorded; leak-check performed.,2022-04-27 00:00:00.000,2026-07-10 08:00:00.000
a4d1b339a9584f8f3d3a6916e0cf2e5d,1002,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q3,Approved,Scope 1,Methane,,,Kyoto Gases,0.682597,26.89,18.355033,0.0,0.0,,,Annual refrigerant top-up recorded; leak-check performed.,2022-04-27 00:00:00.000,2026-07-10 08:00:00.000
,1002,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q3,Approved,Scope 1,Technical Carbon Dioxide,NO HALO,,Kyoto Gases,4.369319,0.9898,4.324752,0.0,0.0,,,Refrigerant charge calculated from equipment log.,2022-04-27 00:00:00.000,2026-07-10 08:00:00.000
,1002,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q3,Approved,Scope 1,Halogenated Carbons,R134a (CH2FCF3),,Halogenated Carbons,0.07526,1437.8,108.208828,0.0,0.0,True,,,2022-04-27 00:00:00.000,2026-07-10 08:00:00.000
4764ff1c2a177e50e9af46fb45542ed2,1002,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q3,Approved,Scope 1,Halogenated Carbons,R404A,HFC,Halogenated Carbons,0.158185,4025.03,636.699371,0.0,0.0,True,,Annual refrigerant top-up recorded; leak-check performed.,2022-04-27 00:00:00.000,2026-07-10 08:00:00.000
,1003,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q4,In Work,Scope 1,SF6 (emitted amount = eM),,,Kyoto Gases,0.007234,24877.6024,179.964576,0.0,0.0,,Data sourced from metered measurements at site level.,,2022-08-14 00:00:00.000,2026-07-10 08:00:00.000
,1003,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q4,In Work,Scope 1,Nitrous Oxide (N2O),,,Kyoto Gases,0.028995,277.4004,8.043225,0.0,0.0,,Estimation based on activity data and IPCC emission factors.,Annual refrigerant top-up recorded; leak-check performed.,2022-08-14 00:00:00.000,2026-07-10 08:00:00.000
3d12fcc574738c96c97e72c307c04246,1003,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q4,In Work,Scope 1,Methane,,,Kyoto Gases,0.703794,27.4994,19.353913,0.0,0.0,,,,2022-08-14 00:00:00.000,2026-07-10 08:00:00.000
ce505627c64364b5681acbd58b588e2c,1003,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q4,In Work,Scope 1,Technical Carbon Dioxide,,,Kyoto Gases,3.936785,0.9727,3.829311,0.0,0.0,,,,2022-08-14 00:00:00.000,2026-07-10 08:00:00.000
c4342e33b0540093f17918c0ca989a19,1003,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q4,In Work,Scope 1,Halogenated Carbons,R134a (CH2FCF3),HFC,Halogenated Carbons,0.07933,1414.21,112.189279,0.0,0.0,True,,Annual refrigerant top-up recorded; leak-check performed.,2022-08-14 00:00:00.000,2026-07-10 08:00:00.000
,1003,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q4,In Work,Scope 1,Halogenated Carbons,R404A,,Halogenated Carbons,0.179414,3861.05,692.726425,0.0,0.0,True,,Annual refrigerant top-up recorded; leak-check performed.,2022-08-14 00:00:00.000,2026-07-10 08:00:00.000
9e910aa7009e9d88875dd137dc70807a,1004,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q1,Approved,Scope 1,SF6 (emitted amount = eM),NO HALO,,Kyoto Gases,0.007138,24987.9229,178.363794,0.0,0.0,,Data sourced from metered measurements at site level.,Annual refrigerant top-up recorded; leak-check performed.,2022-10-25 00:00:00.000,2026-07-10 08:00:00.000
d8062e983f2e1dd9043e4a7efd7be72b,1004,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q1,Approved,Scope 1,Nitrous Oxide (N2O),,,Kyoto Gases,0.024067,273.1037,6.572787,0.0,0.0,,Estimation based on activity data and IPCC emission factors.,,2022-10-25 00:00:00.000,2026-07-10 08:00:00.000
05e5fced3ef00c70a9ccd019b6280cdc,1004,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q1,Approved,Scope 1,Methane,,,Kyoto Gases,0.569547,26.3905,15.03063,0.0,0.0,,,,2022-10-25 00:00:00.000,2026-07-10 08:00:00.000
,1004,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q1,Approved,Scope 1,Technical Carbon Dioxide,,,Kyoto Gases,4.096779,1.0255,4.201247,0.0,0.0,,,Refrigerant charge calculated from equipment log.,2022-10-25 00:00:00.000,2026-07-10 08:00:00.000
c9b4b2963969961bf96006cab6b7ee0d,1004,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q1,Approved,Scope 1,Halogenated Carbons,R134a (CH2FCF3),HFC,Halogenated Carbons,0.089917,1438.24,129.322226,0.0,0.0,True,,,2022-10-25 00:00:00.000,2026-07-10 08:00:00.000
,1004,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q1,Approved,Scope 1,Halogenated Carbons,R404A,HFC,Halogenated Carbons,0.174304,3991.85,695.795422,0.0,0.0,True,,,2022-10-25 00:00:00.000,2026-07-10 08:00:00.000
680986d990837ede24023752f3415f8d,1005,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q2,Approved,Scope 1,SF6 (emitted amount = eM),,,Kyoto Gases,0.006443,24521.5154,157.992124,0.0,0.0,,Data sourced from metered measurements at site level.,Annual refrigerant top-up recorded; leak-check performed.,2023-01-26 00:00:00.000,2026-07-10 08:00:00.000
5d0e6a3bd1169cd0df5fd52c347e3d6a,1005,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q2,Approved,Scope 1,Nitrous Oxide (N2O),NO HALO,,Kyoto Gases,0.023932,265.9002,6.363524,0.0,0.0,,,Annual refrigerant top-up recorded; leak-check performed.,2023-01-26 00:00:00.000,2026-07-10 08:00:00.000
,1005,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q2,Approved,Scope 1,Methane,NO HALO,,Kyoto Gases,0.576171,26.6512,15.355649,0.0,0.0,,Estimation based on activity data and IPCC emission factors.,Annual refrigerant top-up recorded; leak-check performed.,2023-01-26 00:00:00.000,2026-07-10 08:00:00.000
7be9f5abb6f84e9ca48219603813ad1b,1005,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q2,Approved,Scope 1,Technical Carbon Dioxide,,,Kyoto Gases,4.496897,1.0108,4.545463,0.0,0.0,,,,2023-01-26 00:00:00.000,2026-07-10 08:00:00.000
,1005,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q2,Approved,Scope 1,Halogenated Carbons,R134a (CH2FCF3),HFC,Halogenated Carbons,0.071346,1407.41,100.413074,0.0,0.0,True,,Annual refrigerant top-up recorded; leak-check performed.,2023-01-26 00:00:00.000,2026-07-10 08:00:00.000
,1005,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q2,Approved,Scope 1,Halogenated Carbons,R404A,,Halogenated Carbons,0.139671,4000.47,558.749645,0.0,0.0,True,,,2023-01-26 00:00:00.000,2026-07-10 08:00:00.000
,1006,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q3,Approved,Scope 1,SF6 (emitted amount = eM),,,Kyoto Gases,0.006871,24706.7767,169.760263,0.0,0.0,,,,2023-05-03 00:00:00.000,2026-07-10 08:00:00.000
,1006,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q3,Approved,Scope 1,Nitrous Oxide (N2O),,,Kyoto Gases,0.028283,269.1747,7.613068,0.0,0.0,,,Annual refrigerant top-up recorded; leak-check performed.,2023-05-03 00:00:00.000,2026-07-10 08:00:00.000
fc3da3c5391d5170460d8142bf462483,1006,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q3,Approved,Scope 1,Methane,,,Kyoto Gases,0.607289,26.8047,16.278199,0.0,0.0,,,,2023-05-03 00:00:00.000,2026-07-10 08:00:00.000
0561934ade5f066870ddf97c4c6a2d33,1006,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q3,Approved,Scope 1,Technical Carbon Dioxide,,,Kyoto Gases,4.423742,1.0209,4.516198,0.0,0.0,,,,2023-05-03 00:00:00.000,2026-07-10 08:00:00.000
b21317285f4b1306bae8fdf9f7774455,1006,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q3,Approved,Scope 1,Halogenated Carbons,R134a (CH2FCF3),HFC,Halogenated Carbons,0.071841,1446.71,103.933093,0.0,0.0,True,,Annual refrigerant top-up recorded; leak-check performed.,2023-05-03 00:00:00.000,2026-07-10 08:00:00.000
c25b13065c0ae7b6e75d8654e898f8cb,1006,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q3,Approved,Scope 1,Halogenated Carbons,R404A,HFC,Halogenated Carbons,0.179373,3836.67,688.195008,0.0,0.0,True,,,2023-05-03 00:00:00.000,2026-07-10 08:00:00.000
88a8fe6cd986417ed5501af9487bab96,1007,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q4,Approved,Scope 1,SF6 (emitted amount = eM),NO HALO,,Kyoto Gases,0.006768,23709.5817,160.466449,0.0,0.0,,,,2023-08-10 00:00:00.000,2026-07-10 08:00:00.000
1b7deb22a64623a2fe35979b687767e5,1007,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q4,Approved,Scope 1,Nitrous Oxide (N2O),,,Kyoto Gases,0.029296,277.9016,8.141405,0.0,0.0,,,Annual refrigerant top-up recorded; leak-check performed.,2023-08-10 00:00:00.000,2026-07-10 08:00:00.000
dfc9047ff25ba0c215991a4ba59b44e2,1007,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q4,Approved,Scope 1,Methane,,,Kyoto Gases,0.670762,26.8681,18.0221,0.0,0.0,,,,2023-08-10 00:00:00.000,2026-07-10 08:00:00.000
,1007,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q4,Approved,Scope 1,Technical Carbon Dioxide,NO HALO,,Kyoto Gases,4.198872,0.9889,4.152265,0.0,0.0,,,,2023-08-10 00:00:00.000,2026-07-10 08:00:00.000
6d870b9ce1b5eda7b2b57404a54d5700,1007,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q4,Approved,Scope 1,Halogenated Carbons,R134a (CH2FCF3),HFC,Halogenated Carbons,0.080138,1467.42,117.596104,0.0,0.0,True,,,2023-08-10 00:00:00.000,2026-07-10 08:00:00.000
19fa7b93c4d99f104b7709e57cba3889,1007,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q4,Approved,Scope 1,Halogenated Carbons,R404A,HFC,Halogenated Carbons,0.140471,4004.49,562.514715,0.0,0.0,True,,Annual refrigerant top-up recorded; leak-check performed.,2023-08-10 00:00:00.000,2026-07-10 08:00:00.000
363591a66573b826b5ccda7c53c2ef9b,1008,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q1,Approved,Scope 1,SF6 (emitted amount = eM),,,Kyoto Gases,0.006508,24215.894,157.597038,0.0,0.0,,,Annual refrigerant top-up recorded; leak-check performed.,2023-10-30 00:00:00.000,2026-07-10 08:00:00.000
,1008,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q1,Approved,Scope 1,Nitrous Oxide (N2O),,,Kyoto Gases,0.025387,278.5184,7.070747,0.0,0.0,,,,2023-10-30 00:00:00.000,2026-07-10 08:00:00.000
,1008,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q1,Approved,Scope 1,Methane,,,Kyoto Gases,0.549939,26.5801,14.617434,0.0,0.0,,Estimation based on activity data and IPCC emission factors.,,2023-10-30 00:00:00.000,2026-07-10 08:00:00.000
1caa3a3592b20f7dec12f260b23d6dcd,1008,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q1,Approved,Scope 1,Technical Carbon Dioxide,,,Kyoto Gases,3.727759,0.9731,3.627482,0.0,0.0,,Data sourced from metered measurements at site level.,,2023-10-30 00:00:00.000,2026-07-10 08:00:00.000
112431cfdda2c08ce81ac5726a29c65a,1008,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q1,Approved,Scope 1,Halogenated Carbons,R134a (CH2FCF3),,Halogenated Carbons,0.089008,1453.35,129.359777,0.0,0.0,True,,Annual refrigerant top-up recorded; leak-check performed.,2023-10-30 00:00:00.000,2026-07-10 08:00:00.000
230672a11b1ecce3858db6941517e3d0,1008,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q1,Approved,Scope 1,Halogenated Carbons,R404A,HFC,Halogenated Carbons,0.170295,3952.59,673.106314,0.0,0.0,True,,Annual refrigerant top-up recorded; leak-check performed.,2023-10-30 00:00:00.000,2026-07-10 08:00:00.000
dfac5406fe45c653b5015965a36b2d1a,1009,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q2,Approved,Scope 1,SF6 (emitted amount = eM),NO HALO,,Kyoto Gases,0.00681,23650.4615,161.059643,0.0,0.0,,,,2024-01-26 00:00:00.000,2026-07-10 08:00:00.000
385e4077b0d54bfd515cc6fc7298b06e,1009,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q2,Approved,Scope 1,Nitrous Oxide (N2O),,,Kyoto Gases,0.024569,280.8628,6.900518,0.0,0.0,,,,2024-01-26 00:00:00.000,2026-07-10 08:00:00.000
7ac5e1d9ecb81ce3727cc8162cf0f618,1009,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q2,Approved,Scope 1,Methane,,,Kyoto Gases,0.602264,27.1264,16.337254,0.0,0.0,,,Annual refrigerant top-up recorded; leak-check performed.,2024-01-26 00:00:00.000,2026-07-10 08:00:00.000
,1009,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q2,Approved,Scope 1,Technical Carbon Dioxide,,,Kyoto Gases,4.343289,0.9772,4.244262,0.0,0.0,,,,2024-01-26 00:00:00.000,2026-07-10 08:00:00.000
,1009,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q2,Approved,Scope 1,Halogenated Carbons,R134a (CH2FCF3),HFC,Halogenated Carbons,0.076797,1422.17,109.218389,0.0,0.0,True,,Annual refrigerant top-up recorded; leak-check performed.,2024-01-26 00:00:00.000,2026-07-10 08:00:00.000
c0949556b4d459d88a4ba39fe1a2fb02,1009,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q2,Approved,Scope 1,Halogenated Carbons,R404A,HFC,Halogenated Carbons,0.145569,3939.05,573.403569,0.0,0.0,True,,Annual refrigerant top-up recorded; leak-check performed.,2024-01-26 00:00:00.000,2026-07-10 08:00:00.000
d34b97b52f26885505b493bb86a138e2,1010,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q3,Approved,Scope 1,SF6 (emitted amount = eM),,,Kyoto Gases,0.006839,24096.8384,164.798278,0.0,0.0,,,,2024-04-22 00:00:00.000,2026-07-10 08:00:00.000
d8062502e9d06d67379f963ec79b0bc9,1010,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q3,Approved,Scope 1,Nitrous Oxide (N2O),,,Kyoto Gases,0.029589,269.9607,7.987867,0.0,0.0,,Estimation based on activity data and IPCC emission factors.,Annual refrigerant top-up recorded; leak-check performed.,2024-04-22 00:00:00.000,2026-07-10 08:00:00.000
,1010,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q3,Approved,Scope 1,Methane,,,Kyoto Gases,0.598281,26.7313,15.992829,0.0,0.0,,,Annual refrigerant top-up recorded; leak-check performed.,2024-04-22 00:00:00.000,2026-07-10 08:00:00.000
7d8f2fe248df7ff6ebc3feffcba873e9,1010,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q3,Approved,Scope 1,Technical Carbon Dioxide,NO HALO,,Kyoto Gases,4.209469,0.9792,4.121912,0.0,0.0,,,,2024-04-22 00:00:00.000,2026-07-10 08:00:00.000
cd96d3d95cf9f955b480c4913e76837a,1010,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q3,Approved,Scope 1,Halogenated Carbons,R134a (CH2FCF3),HFC,Halogenated Carbons,0.07441,1446.1,107.604301,0.0,0.0,True,,Annual refrigerant top-up recorded; leak-check performed.,2024-04-22 00:00:00.000,2026-07-10 08:00:00.000
4d385a37901e1c1a9f92b77b9057cd9c,1010,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q3,Approved,Scope 1,Halogenated Carbons,R404A,,Halogenated Carbons,0.142626,3843.38,548.165916,0.0,0.0,True,,,2024-04-22 00:00:00.000,2026-07-10 08:00:00.000
657900d5e11a4fd26f89d623a3a6c24e,1011,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q4,Approved,Scope 1,SF6 (emitted amount = eM),,,Kyoto Gases,0.006377,23687.7119,151.056539,0.0,0.0,,,Annual refrigerant top-up recorded; leak-check performed.,2024-07-30 00:00:00.000,2026-07-10 08:00:00.000
b143df2e301917c13bc52b3d25ad2413,1011,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q4,Approved,Scope 1,Nitrous Oxide (N2O),,,Kyoto Gases,0.023438,268.6241,6.296012,0.0,0.0,,,,2024-07-30 00:00:00.000,2026-07-10 08:00:00.000
9fd16e8884519f87908ae56a6799461c,1011,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q4,Approved,Scope 1,Methane,,,Kyoto Gases,0.706445,27.2229,19.231482,0.0,0.0,,,Annual refrigerant top-up recorded; leak-check performed.,2024-07-30 00:00:00.000,2026-07-10 08:00:00.000
d2750cc0df257c30be3335f64584fbda,1011,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q4,Approved,Scope 1,Technical Carbon Dioxide,,,Kyoto Gases,4.165077,1.0207,4.251294,0.0,0.0,,,,2024-07-30 00:00:00.000,2026-07-10 08:00:00.000
2846b3ce5843492322bdac9b540f7afc,1011,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q4,Approved,Scope 1,Halogenated Carbons,R134a (CH2FCF3),HFC,Halogenated Carbons,0.087173,1416.32,123.464863,0.0,0.0,True,,Annual refrigerant top-up recorded; leak-check performed.,2024-07-30 00:00:00.000,2026-07-10 08:00:00.000
,1011,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q4,Approved,Scope 1,Halogenated Carbons,R404A,HFC,Halogenated Carbons,0.14328,3884.08,556.510982,0.0,0.0,True,,Annual refrigerant top-up recorded; leak-check performed.,2024-07-30 00:00:00.000,2026-07-10 08:00:00.000
79c89fa68cf04f7bb9ba51849b6f6a80,1012,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2025,Q1,In Work,Scope 1,SF6 (emitted amount = eM),,,Kyoto Gases,0.006991,24495.0363,171.244799,0.0,0.0,,,,2024-10-29 00:00:00.000,2026-07-10 08:00:00.000
399c754b103d8f71eaea425b4e2df18d,1012,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2025,Q1,In Work,Scope 1,Nitrous Oxide (N2O),NO HALO,,Kyoto Gases,0.030919,277.6192,8.583708,0.0,0.0,,,,2024-10-29 00:00:00.000,2026-07-10 08:00:00.000
a0232aab0996e0008b2d4eb3bdb6a6db,1012,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2025,Q1,In Work,Scope 1,Methane,,,Kyoto Gases,0.730697,27.785,20.302416,0.0,0.0,,,,2024-10-29 00:00:00.000,2026-07-10 08:00:00.000
cc96c5712ac42503cc031a703b9940d6,1012,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2025,Q1,In Work,Scope 1,Technical Carbon Dioxide,,,Kyoto Gases,4.741407,0.9994,4.738562,0.0,0.0,,,,2024-10-29 00:00:00.000,2026-07-10 08:00:00.000
bd716b1ee00be7989b03a9e9e372527d,1012,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2025,Q1,In Work,Scope 1,Halogenated Carbons,R134a (CH2FCF3),HFC,Halogenated Carbons,0.080196,1455.92,116.75896,0.0,0.0,True,,Annual refrigerant top-up recorded; leak-check performed.,2024-10-29 00:00:00.000,2026-07-10 08:00:00.000
3fb529de54d5af9133d95c36f4071bb0,1012,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2025,Q1,In Work,Scope 1,Halogenated Carbons,R404A,,Halogenated Carbons,0.16697,3972.18,663.234895,0.0,0.0,True,,,2024-10-29 00:00:00.000,2026-07-10 08:00:00.000
b9b2808dff61bfb9d7ce72a21b05b0c0,1013,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2025,Q2,Approved,Scope 1,SF6 (emitted amount = eM),,,Kyoto Gases,0.007297,23577.5612,172.045464,0.0,0.0,,Data sourced from metered measurements at site level.,,2025-01-25 00:00:00.000,2026-07-10 08:00:00.000
fd91c77f3e3c5586f073a4bbc2048ced,1013,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2025,Q2,Approved,Scope 1,Nitrous Oxide (N2O),,,Kyoto Gases,0.02501,278.7786,6.972253,0.0,0.0,,,,2025-01-25 00:00:00.000,2026-07-10 08:00:00.000
,1013,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2025,Q2,Approved,Scope 1,Methane,,,Kyoto Gases,0.714701,26.4939,18.935217,0.0,0.0,,,,2025-01-25 00:00:00.000,2026-07-10 08:00:00.000
5efe4f6d01ed6baf57f75256f4016982,1013,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2025,Q2,Approved,Scope 1,Technical Carbon Dioxide,,,Kyoto Gases,4.256323,0.9782,4.163535,0.0,0.0,,,,2025-01-25 00:00:00.000,2026-07-10 08:00:00.000
019b0ed25cd31313708e53c1afd35cf8,1013,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2025,Q2,Approved,Scope 1,Halogenated Carbons,R134a (CH2FCF3),HFC,Halogenated Carbons,0.078811,1398.63,110.227429,0.0,0.0,True,,Annual refrigerant top-up recorded; leak-check performed.,2025-01-25 00:00:00.000,2026-07-10 08:00:00.000
38799e0b71432fc5b1fd4e9278349ad9,1013,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2025,Q2,Approved,Scope 1,Halogenated Carbons,R404A,HFC,Halogenated Carbons,0.15117,3903.26,590.055814,0.0,0.0,True,,Annual refrigerant top-up recorded; leak-check performed.,2025-01-25 00:00:00.000,2026-07-10 08:00:00.000
c220ce692c14ca1248e0b29a2654984c,1014,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2025,Q3,Approved,Scope 1,SF6 (emitted amount = eM),,,Kyoto Gases,0.006648,24653.2996,163.895136,0.0,0.0,,,Annual refrigerant top-up recorded; leak-check performed.,2025-05-13 00:00:00.000,2026-07-10 08:00:00.000
4320bacb76f3a978b6df63bba1f5d6f3,1014,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2025,Q3,Approved,Scope 1,Nitrous Oxide (N2O),,,Kyoto Gases,0.030195,269.4496,8.136031,0.0,0.0,,,,2025-05-13 00:00:00.000,2026-07-10 08:00:00.000
